dtime,miles
2017-12-18 18:00:01,4279
2017-12-18 21:00:00,4291
2017-12-19 20:00:00,4325
2017-12-20 18:45:00,4355
2017-12-20 19:30:00,4358
2017-12-21 08:44:00,4373
2017-12-21 14:45:00,4389
2017-12-21 17:15:00,4411
2017-12-21 20:15:00,4433
2017-12-22 19:05:00,4453
2017-12-23 11:26:00,4457
2017-12-23 17:32:00,4460
2017-12-27 09:13:00,4460
2017-12-24 19:05:00,4460
2017-12-25 12:00:00,4460
2017-12-26 12:00:00,4460
2017-12-28 10:05:00,4460
2017-12-29 12:00:00,4460
2017-12-30 12:00:00,4460
2017-12-31 15:18:00,4460
